Age (Ma),pCO2 probability maximum,lw95%,lw68%,up68%,up95%
211.00,1178.39,789.11,964.25,1500.91,1725.55
211.50,1170.68,778.83,970.66,1492.65,1722.00
212.00,1172.91,776.07,961.15,1494.12,1722.13
212.50,1223.65,782.28,951.70,1504.10,1729.93
213.00,1231.62,774.67,948.45,1519.33,1745.07
213.50,1210.86,780.26,960.29,1545.78,1767.07
214.00,1207.79,819.62,981.77,1559.19,1763.33
214.50,1324.31,835.96,1015.65,1580.21,1786.70
215.00,1339.32,846.10,1035.40,1616.22,1821.20
215.50,1361.99,851.61,1054.43,1654.02,1899.80
216.00,1381.16,860.07,1077.21,1695.16,1967.08
216.50,1406.39,862.94,1101.46,1732.44,2019.79
217.00,1439.63,878.80,1131.41,1758.11,2083.94
217.50,1450.96,926.00,1161.61,1787.77,2115.52
218.00,1501.04,964.38,1190.15,1843.29,2199.67
218.50,1531.76,989.70,1229.06,1897.75,2244.38
219.00,1552.40,1011.02,1237.77,1959.10,2272.16
219.50,1589.30,1016.16,1243.97,2023.41,2375.01
220.00,1599.29,1032.56,1278.66,2081.03,2446.30
220.50,1614.51,1026.21,1315.30,2120.76,2498.11
221.00,1660.23,1038.65,1345.94,2174.20,2540.79
221.50,1702.54,1085.65,1397.46,2225.46,2617.76
222.00,1776.13,1113.00,1430.04,2288.12,2691.29
222.50,1818.97,1140.78,1458.82,2336.76,2771.85
223.00,1854.49,1137.36,1480.50,2394.83,2834.97
223.50,1911.95,1152.19,1498.52,2428.05,2863.23
224.00,1955.25,1186.25,1525.36,2436.79,2850.08
224.50,2047.59,1192.73,1532.48,2475.28,2869.41
225.00,2131.92,1226.87,1552.95,2507.31,2909.25
225.50,2111.68,1203.71,1552.64,2541.55,2955.17
226.00,2073.20,1198.27,1542.54,2561.44,2995.16
226.50,2062.80,1187.17,1538.66,2575.35,3028.95
227.00,2059.04,1185.58,1537.01,2572.90,3016.58
227.50,2051.57,1173.59,1521.60,2515.33,2992.94
228.00,2082.91,1165.92,1500.78,2467.63,2976.67
228.50,2023.94,1159.33,1459.57,2414.34,2919.56
229.00,1989.51,1127.32,1414.98,2383.15,2839.76
229.50,1975.23,1075.88,1372.49,2340.36,2823.87
230.00,1938.98,1042.73,1347.88,2296.47,2774.52
230.50,1892.22,1048.80,1331.39,2225.72,2721.56
231.00,1767.46,1026.96,1326.16,2181.75,2668.50
231.50,1662.83,984.42,1312.98,2151.27,2623.15
232.00,1613.52,950.10,1266.73,2101.69,2592.51
232.50,1624.32,889.70,1206.34,2080.55,2588.60
233.00,1518.27,836.56,1138.78,2076.78,2589.37
233.50,1495.34,770.80,1081.68,2038.15,2572.95
234.00,1478.47,702.03,1028.22,2013.87,2580.50
234.50,1447.15,663.76,972.63,1984.09,2625.94
235.00,1398.80,590.93,894.51,2005.38,2678.79
235.50,1352.41,540.80,819.25,1999.55,2709.71
236.00,1300.84,464.01,772.88,1991.46,2743.92
236.50,1248.87,388.83,720.18,1963.35,2721.26
237.00,1210.03,339.54,661.96,1935.07,2650.36
237.50,1205.65,297.95,615.23,1868.19,2582.57
238.00,1204.76,277.29,558.51,1779.31,2514.92
238.50,1167.29,238.13,518.13,1746.18,2463.38
239.00,1110.06,204.06,469.19,1695.70,2446.86
239.50,1033.59,175.94,422.40,1619.18,2349.34
240.00,532.66,143.29,390.74,1517.23,2229.60
240.50,528.96,130.29,356.97,1411.06,2068.50
241.00,532.54,128.13,331.63,1299.24,1903.28
241.50,519.87,127.69,306.09,1193.07,1774.74
242.00,491.72,101.22,288.69,1096.64,1644.34
242.50,424.20,69.49,267.76,1005.54,1494.31
243.00,388.88,61.58,250.54,936.49,1441.68
243.50,400.12,76.16,249.15,887.76,1350.76
244.00,424.25,85.55,243.88,847.19,1277.57
244.50,417.99,91.79,246.47,787.36,1187.84
245.00,420.96,68.52,245.41,773.11,1152.25
245.50,414.97,38.51,233.07,789.56,1146.75
246.00,429.51,9.85,227.00,812.61,1136.35
246.50,451.45,1.08,224.20,856.87,1144.05
247.00,490.73,-17.84,231.32,900.57,1193.00
247.50,550.55,-4.25,259.30,956.17,1295.43
248.00,615.49,-21.24,286.46,1033.81,1409.61
248.50,668.76,-34.00,306.47,1102.66,1491.73
249.00,691.14,-32.59,326.08,1167.76,1592.90
249.50,738.91,-22.34,345.68,1215.13,1635.85
250.00,772.38,2.59,365.21,1248.69,1668.20
250.50,769.71,20.61,397.28,1283.43,1693.62
251.00,825.97,37.70,419.58,1329.46,1730.10
251.50,856.75,30.89,443.40,1378.51,1754.50
252.00,878.74,41.20,461.75,1420.36,1790.00
252.50,871.56,64.37,466.74,1429.52,1839.21
253.00,856.32,83.05,461.01,1428.29,1824.79
253.50,865.39,74.21,457.74,1402.08,1823.61
254.00,868.96,71.52,455.64,1381.52,1763.62
254.50,856.25,44.35,433.03,1327.19,1715.23
255.00,849.85,22.56,420.21,1300.54,1680.77
255.50,844.34,8.43,397.56,1269.26,1657.02
256.00,810.90,-19.43,365.55,1233.76,1619.93
256.50,778.24,-41.66,347.34,1178.35,1550.92
257.00,727.60,-48.48,315.69,1115.07,1466.66
257.50,677.85,-40.65,274.55,1040.70,1386.85
258.00,637.31,-54.76,245.43,977.51,1294.66
258.50,610.69,-57.83,217.16,909.75,1221.11
259.00,580.34,-75.04,203.91,858.39,1159.68
259.50,562.04,-85.73,188.94,821.53,1119.81
260.00,535.64,-98.87,174.24,788.71,1071.69
260.50,495.65,-76.99,177.12,748.78,1006.07
261.00,461.03,-61.09,166.75,711.72,1010.42
261.50,409.91,-76.13,152.07,689.95,1011.73
262.00,373.08,-84.49,139.01,670.30,1003.75
262.50,352.02,-89.77,124.09,656.64,1008.22
263.00,344.77,-83.05,122.84,652.95,1015.91
263.50,349.70,-70.32,130.59,655.04,1029.96
264.00,356.78,-68.52,134.22,650.10,1027.38
264.50,340.11,-57.99,134.50,650.82,1071.67
265.00,320.41,-40.48,142.16,649.72,1082.38
265.50,322.44,-33.13,145.99,643.10,1087.00
266.00,321.19,-21.76,154.51,633.36,1063.24
266.50,316.97,-2.76,158.93,620.91,1019.94
267.00,308.80,3.07,162.17,598.01,971.32
267.50,306.95,20.94,167.89,584.52,914.38
268.00,301.88,36.19,175.96,582.15,872.69
268.50,300.75,46.45,176.01,566.84,820.39
269.00,325.45,48.63,187.04,553.54,793.65
269.50,331.28,58.67,196.33,551.92,771.31
270.00,325.11,84.71,208.52,550.63,760.28
270.50,351.09,118.21,225.80,552.93,734.61
271.00,337.61,132.40,241.58,561.93,732.04
271.50,358.78,146.58,253.58,578.86,735.53
272.00,389.79,152.87,260.73,599.94,745.30
272.50,417.24,159.84,267.82,615.98,765.14
273.00,443.77,162.19,275.87,634.05,791.52
273.50,432.28,181.29,294.60,652.08,809.10
274.00,525.87,198.47,314.22,686.75,838.79
274.50,543.87,203.49,332.05,722.20,883.14
275.00,555.97,211.13,341.56,759.48,915.25
275.50,551.32,221.71,358.23,787.12,941.32
276.00,560.26,232.19,370.81,806.37,969.52
276.50,571.31,254.00,389.61,821.43,973.00
277.00,583.06,271.05,411.82,819.18,1003.47
277.50,591.36,300.66,423.21,830.02,1024.57
278.00,611.66,315.56,429.56,846.49,1036.87
278.50,636.82,321.66,440.55,865.11,1044.37
279.00,665.83,332.48,457.88,879.35,1056.86
279.50,681.58,339.72,465.98,879.71,1070.69
280.00,690.31,350.57,480.62,879.25,1071.88
280.50,675.83,360.75,482.31,868.60,1058.34
281.00,651.44,360.57,484.84,862.54,1056.90
281.50,633.54,338.52,477.91,867.83,1049.02
282.00,625.92,335.37,471.96,870.89,1063.02
282.50,616.27,344.52,477.84,868.86,1055.20
283.00,610.60,349.50,476.27,861.65,1075.03
283.50,612.56,356.97,481.39,855.05,1067.41
284.00,610.79,360.12,480.87,847.61,1090.70
284.50,591.40,345.51,474.98,842.55,1086.13
285.00,596.60,327.11,467.83,846.69,1071.97
285.50,639.35,315.66,461.67,837.43,1082.17
286.00,642.91,319.24,457.42,835.82,1080.62
286.50,638.81,325.55,452.39,829.81,1056.90
287.00,616.91,346.34,446.77,817.51,1028.50
287.50,565.92,328.07,446.46,819.21,1009.25
288.00,562.52,323.70,433.48,814.34,1000.26
288.50,562.75,304.14,421.60,804.84,1002.45
289.00,555.52,296.37,410.10,798.59,981.19
289.50,547.90,287.45,401.64,787.00,967.83
290.00,545.09,281.60,393.41,769.79,962.97
290.50,563.61,279.15,380.11,751.53,962.41
291.00,549.54,251.75,370.28,745.29,976.10
291.50,527.59,225.98,357.38,739.80,968.89
292.00,518.39,206.79,337.61,736.96,963.98
292.50,499.24,194.53,324.67,725.87,970.74
293.00,479.80,195.62,317.50,713.10,947.94
293.50,491.52,175.23,309.74,702.19,940.03
294.00,436.08,165.24,300.54,687.29,940.08
294.50,414.43,143.57,286.54,675.15,917.39
295.00,404.65,119.10,277.63,668.84,926.48
295.50,396.44,107.46,270.70,660.81,943.36
296.00,399.84,107.34,268.01,658.77,948.69
296.50,443.74,120.16,264.86,643.98,953.46
297.00,444.70,127.86,265.50,629.91,957.04
297.50,454.52,125.56,256.51,625.73,963.64
298.00,458.31,108.15,255.31,629.34,960.94
298.50,453.17,95.81,254.77,631.01,957.68
299.00,451.66,93.64,254.31,637.38,930.87
299.50,386.74,100.18,256.37,637.75,897.51
300.00,408.82,110.65,266.72,636.95,862.19
300.50,380.44,119.96,267.68,635.48,854.20
301.00,383.28,133.30,265.63,648.80,847.43
301.50,399.46,138.41,263.63,655.00,845.56
302.00,415.97,134.72,263.46,650.10,825.68
302.50,407.48,128.37,258.82,641.02,808.26
303.00,400.31,138.06,262.98,635.12,806.72
303.50,388.03,138.34,261.76,625.91,812.35
304.00,370.49,127.48,259.22,632.01,841.27
304.50,356.03,115.88,251.65,639.40,833.31
305.00,352.46,96.16,246.15,646.64,844.53
305.50,359.45,99.27,236.40,638.47,839.93
306.00,365.00,89.22,234.37,630.98,820.36
306.50,374.69,98.93,235.37,614.11,811.15
307.00,377.01,105.13,229.90,595.02,794.08
307.50,360.06,102.52,223.45,582.29,785.85
308.00,342.73,109.07,217.96,572.63,770.04
308.50,333.01,108.96,213.85,565.25,750.55
309.00,335.51,119.89,216.57,546.29,715.86
309.50,356.02,129.70,223.57,520.41,681.01
310.00,351.73,138.84,230.97,499.04,636.69
310.50,349.07,151.58,238.11,474.83,595.87
311.00,338.07,164.11,239.88,460.58,566.37
311.50,338.39,165.17,240.67,450.26,553.95
312.00,341.09,177.38,239.78,440.38,545.45
312.50,336.22,184.25,244.63,426.87,527.14
313.00,329.22,201.63,249.86,418.57,500.08
313.50,320.64,201.91,256.43,409.47,471.88
314.00,319.46,202.31,258.75,404.99,461.33
314.50,326.80,201.55,259.93,399.89,457.45
315.00,328.59,199.23,260.78,398.86,458.45
315.50,329.94,195.88,262.70,400.24,456.27
316.00,335.45,189.26,261.92,404.49,468.71
316.50,335.98,186.00,261.60,409.22,484.30
317.00,355.25,175.06,256.61,419.10,496.88
317.50,351.25,166.28,250.55,429.58,518.10
318.00,341.63,151.22,243.60,441.23,537.68
318.50,330.39,145.65,238.01,445.00,546.03
319.00,325.74,133.43,236.45,450.69,554.16
319.50,332.50,132.15,232.51,455.08,567.06
320.00,336.78,115.40,233.65,465.56,587.15
320.50,337.86,102.45,227.41,473.62,605.34
321.00,340.63,96.92,221.91,479.38,614.30
321.50,337.34,94.58,217.68,482.51,618.07
322.00,331.15,100.40,215.91,483.30,620.91
322.50,324.96,101.25,211.35,484.47,611.67
323.00,333.29,106.57,209.47,481.81,592.38
323.50,360.13,102.92,208.30,474.64,584.91
324.00,355.61,96.94,206.43,468.54,575.60
324.50,343.08,92.38,199.48,456.90,581.48
325.00,339.44,85.83,196.98,453.59,583.78
325.50,347.44,82.09,193.57,446.29,569.51
326.00,352.07,84.62,189.83,439.71,563.62
326.50,347.33,83.11,182.40,433.03,558.12
327.00,316.52,75.96,174.13,432.02,549.14
327.50,306.49,67.83,170.05,432.80,556.08
328.00,303.27,54.81,157.26,435.08,558.76
328.50,298.40,45.86,151.06,430.55,567.44
329.00,291.55,38.92,146.60,428.96,570.76
329.50,275.45,26.50,143.12,428.64,573.80
330.00,260.02,16.38,131.04,428.42,572.89
330.50,296.54,0.96,123.00,426.30,577.83
331.00,296.25,-19.09,114.90,430.21,592.57
331.50,301.06,-20.31,112.27,431.72,600.61
332.00,300.26,-24.02,107.13,432.44,601.25
332.50,283.85,-17.68,103.83,437.43,599.66
333.00,262.84,-16.49,100.93,435.49,593.16
333.50,223.42,-22.11,97.36,433.04,593.23
334.00,216.78,-21.35,95.73,435.31,610.45
334.50,218.06,-18.53,93.32,438.78,619.01
335.00,219.25,-13.42,93.96,443.21,645.79
335.50,256.43,-6.62,96.37,452.95,670.70
336.00,268.43,3.26,96.30,458.95,683.78
336.50,242.82,-1.70,95.66,467.79,707.52
337.00,231.43,-7.31,100.26,481.83,737.11
337.50,235.61,-3.72,105.09,503.40,778.45
338.00,226.56,-3.12,109.84,533.33,818.26
338.50,225.06,-0.91,118.08,555.59,852.09
339.00,238.15,5.62,123.69,578.40,893.02
339.50,274.07,26.80,134.78,616.69,943.46
340.00,299.46,27.14,150.14,638.07,981.17
340.50,318.48,20.48,164.07,672.27,1003.65
341.00,321.74,20.33,188.00,696.63,1050.81
341.50,297.31,25.73,202.76,713.80,1080.75
342.00,331.21,37.37,219.70,735.16,1081.17
342.50,425.02,24.82,225.56,758.24,1093.35
343.00,489.35,14.66,240.49,803.60,1095.39
343.50,548.45,8.44,250.86,843.74,1129.03
344.00,564.74,-7.70,256.27,873.22,1155.99
344.50,551.14,-9.33,260.04,905.34,1177.48
345.00,522.39,-24.63,265.36,935.82,1228.67
345.50,514.32,-40.49,268.29,964.27,1266.61
346.00,510.03,-56.81,267.99,995.52,1306.69
346.50,518.31,-81.38,271.72,1011.11,1383.57
347.00,542.51,-102.57,267.85,1052.22,1468.08
347.50,563.37,-123.84,274.83,1062.35,1542.40
348.00,585.47,-118.11,268.44,1091.40,1581.27
348.50,620.29,-118.63,269.26,1117.98,1606.04
349.00,644.64,-129.08,270.28,1124.40,1627.20
349.50,648.88,-112.42,270.48,1145.79,1651.10
350.00,647.81,-117.04,259.17,1159.11,1673.40
350.50,668.68,-118.89,263.85,1181.40,1703.91
351.00,681.12,-109.34,251.70,1200.19,1723.53
351.50,698.35,-110.72,246.49,1202.40,1777.10
352.00,699.26,-127.00,242.52,1209.15,1763.07
352.50,621.12,-111.61,254.58,1214.76,1785.92
353.00,579.88,-97.46,250.26,1242.90,1788.76
353.50,576.33,-90.83,248.58,1261.02,1820.77
354.00,588.87,-89.08,252.32,1268.86,1841.95
354.50,593.52,-105.19,253.44,1298.59,1892.97
355.00,589.04,-114.82,250.57,1314.02,1949.51
355.50,583.19,-117.07,234.77,1349.46,2010.18
356.00,583.12,-135.74,236.98,1388.01,2098.85
356.50,589.88,-166.21,227.24,1425.94,2157.18
357.00,585.70,-203.15,222.33,1456.76,2195.92
357.50,586.41,-238.53,218.47,1479.64,2217.87
358.00,572.86,-248.51,226.20,1483.77,2207.31
358.50,575.10,-224.76,228.74,1494.53,2212.88
359.00,590.22,-183.83,235.10,1515.22,2207.94
359.50,646.14,-182.45,251.44,1482.78,2213.08
360.00,699.76,-186.91,264.04,1463.46,2189.33
360.50,721.04,-182.54,273.42,1463.44,2167.18
361.00,704.84,-168.57,286.07,1458.31,2127.23
361.50,654.83,-148.09,285.14,1424.44,2100.47
362.00,637.95,-113.76,316.12,1383.48,2023.43
362.50,627.41,-90.06,338.08,1361.73,1993.93
363.00,803.60,-71.17,342.48,1324.40,1939.79
363.50,905.53,-26.64,362.47,1329.51,1899.50
364.00,851.18,15.11,375.87,1312.12,1837.44
364.50,830.05,28.11,378.54,1323.76,1815.46
365.00,832.07,43.32,396.89,1293.45,1782.73
365.50,813.17,47.97,411.66,1299.56,1753.25
366.00,776.76,51.49,422.46,1306.81,1736.88
366.50,773.96,38.60,423.43,1306.10,1770.64
367.00,800.26,46.07,418.36,1323.77,1814.74
367.50,809.37,61.48,415.78,1333.55,1844.57
368.00,797.64,67.84,411.50,1348.82,1883.85
368.50,808.39,64.39,416.25,1380.17,1932.43
369.00,809.75,35.15,421.73,1404.46,1998.63
369.50,795.75,13.04,410.38,1433.11,2032.37
370.00,810.78,3.43,392.63,1459.02,2093.19
370.50,819.49,-44.95,387.28,1488.63,2120.37
371.00,840.04,-87.74,368.52,1522.36,2120.45
371.50,872.29,-96.10,366.51,1553.85,2177.49
372.00,935.36,-105.78,374.49,1583.85,2231.84
372.50,969.96,-105.33,374.49,1618.32,2259.60
373.00,956.91,-85.06,379.81,1655.80,2277.75
373.50,948.43,-89.27,367.83,1698.51,2351.43
374.00,983.06,-91.78,355.61,1706.73,2361.22
374.50,1021.99,-96.89,349.72,1723.06,2367.98
375.00,1052.02,-142.51,350.83,1726.62,2378.60
375.50,1150.59,-163.13,352.08,1757.20,2385.62
376.00,1253.40,-187.97,341.71,1796.04,2387.86
376.50,1312.13,-199.33,331.74,1823.57,2398.71
377.00,1335.43,-202.21,347.06,1859.71,2439.12
377.50,1355.12,-189.69,361.29,1893.38,2461.87
378.00,1363.35,-179.87,365.82,1922.46,2480.93
378.50,1306.52,-172.45,404.54,1938.82,2518.60
379.00,1271.95,-147.92,416.91,1974.50,2642.81
379.50,1265.19,-118.70,438.00,2009.22,2732.36
380.00,1269.38,-105.89,458.45,2038.47,2763.62
380.50,1223.35,-111.27,458.49,2040.50,2838.46
381.00,1104.42,-96.88,460.10,2050.99,2879.35
381.50,1062.01,-101.76,500.53,2065.44,2918.55
382.00,1053.50,-95.18,505.41,2084.85,2905.07
382.50,1108.37,-100.73,515.67,2086.32,2885.12
383.00,1136.65,-103.10,514.80,2071.81,2853.16
383.50,1190.14,-102.70,522.61,2080.32,2886.66
384.00,1220.28,-109.62,507.51,2066.90,2884.36
384.50,1371.16,-96.98,506.89,2028.46,2843.67
385.00,1407.40,-76.66,482.79,1980.85,2752.74
385.50,1332.10,-79.16,493.10,1960.16,2712.24
386.00,1264.56,-89.23,488.68,1925.04,2643.53
386.50,1222.17,-53.94,484.93,1899.48,2676.48
387.00,1176.16,-68.98,468.76,1891.14,2684.70
387.50,1139.51,-58.34,467.81,1886.61,2650.95
388.00,1064.60,-37.28,483.55,1846.25,2667.93
388.50,979.58,-13.23,493.61,1802.47,2617.08
389.00,1017.44,37.76,499.78,1776.63,2647.81
389.50,1082.25,71.77,528.37,1791.77,2662.61
390.00,1128.63,82.34,524.12,1785.69,2694.90
390.50,1093.36,69.72,524.35,1811.93,2709.10
391.00,1000.00,93.71,531.79,1863.93,2751.70
391.50,972.17,125.09,542.26,1870.65,2800.89
392.00,985.51,119.31,576.27,1912.30,2749.52
392.50,1010.92,120.30,608.08,1975.85,2737.40
393.00,1046.21,108.16,627.56,2033.79,2785.42
393.50,1077.35,107.67,644.31,2090.51,2777.67
394.00,1113.50,115.94,669.71,2148.92,2762.62
394.50,1191.59,133.71,720.43,2181.32,2797.28
395.00,1296.84,152.96,754.58,2233.98,2850.62
395.50,1669.14,124.63,777.23,2304.89,2872.79
396.00,1709.91,169.97,794.74,2353.64,2913.39
396.50,1759.59,163.35,831.87,2405.66,2956.93
397.00,1788.11,187.11,870.01,2423.01,2972.30
397.50,1785.28,226.80,898.11,2454.67,2960.02
398.00,1809.43,224.74,926.23,2442.11,2981.95
398.50,1818.73,251.37,930.09,2475.79,2987.60
399.00,1826.32,292.64,948.26,2485.68,3006.78
399.50,1775.45,284.64,975.44,2513.27,3006.76
400.00,1731.00,315.48,973.77,2504.59,3034.89
400.50,1786.44,340.68,1017.58,2507.13,3017.13
401.00,1828.25,340.64,1031.63,2527.59,3033.37
401.50,1841.36,375.55,1028.96,2517.94,3057.89
402.00,1845.38,380.09,1015.75,2507.18,3060.64
402.50,1848.32,426.23,1013.82,2536.05,3116.52
403.00,1830.65,398.42,1024.85,2565.12,3170.80
403.50,1833.66,393.78,1054.64,2590.52,3178.80
404.00,1848.39,455.76,1077.61,2573.14,3176.02
404.50,1685.23,522.10,1129.17,2615.62,3158.95
405.00,1689.11,591.69,1153.56,2597.87,3154.75
405.50,1726.08,659.51,1204.98,2603.16,3158.91
406.00,1793.02,698.70,1251.82,2628.39,3206.52
406.50,1985.84,772.74,1269.97,2652.60,3217.09
407.00,2017.43,830.61,1282.32,2648.73,3155.23
407.50,2021.18,874.82,1333.58,2632.15,3116.78
408.00,2034.54,910.34,1402.74,2606.98,3062.64
408.50,1957.23,937.05,1423.01,2607.24,3034.98
409.00,2159.74,949.54,1435.33,2635.07,3026.94
409.50,2165.27,906.06,1434.32,2658.95,3111.18
410.00,2102.11,904.12,1422.10,2679.17,3202.53
410.50,2059.99,869.69,1405.22,2679.03,3266.02
411.00,2048.24,866.13,1395.62,2683.78,3321.02
411.50,2039.91,799.97,1382.35,2680.14,3373.91
412.00,2055.68,736.69,1347.43,2714.40,3390.20
412.50,2061.56,714.45,1290.05,2741.36,3410.98
413.00,2011.83,675.11,1261.38,2753.48,3453.64
413.50,1925.58,644.39,1233.15,2739.66,3399.23
414.00,1739.57,578.55,1195.58,2729.60,3405.42
414.50,1649.22,467.79,1147.05,2703.66,3377.68
415.00,1579.21,382.82,1093.86,2692.13,3367.12
415.50,1528.61,341.35,1048.65,2680.32,3347.73
416.00,1547.21,266.78,1007.68,2655.23,3380.54
416.50,1568.45,198.07,941.83,2634.47,3426.73
417.00,1504.45,92.75,874.31,2606.64,3458.21
417.50,1435.26,32.83,806.25,2583.53,3451.47
418.00,1387.93,-121.53,708.83,2565.37,3473.85
418.50,1354.84,-267.53,578.67,2554.53,3535.61
419.00,1414.00,-452.60,471.52,2587.45,3588.86
419.50,1443.91,-628.60,351.71,2576.42,3636.69
